RECID,c00100,standard,c04800,iitax,payrolltax
11,30000.00,6763.08,18923.46,73.55,4590.00
12,60000.00,6763.08,48923.46,4353.93,9180.00
13,460000.00,6763.08,453236.92,108606.63,30414.80
21,60000.00,13526.15,29220.01,-2888.13,9180.00
22,120000.00,13526.15,89220.01,5482.48,18360.00
23,240000.00,13526.15,209220.01,39000.83,36720.00
31,30000.00,9958.23,11414.85,-3835.36,4590.00
32,60000.00,9958.23,41414.85,1601.04,9180.00
33,120000.00,9958.23,101414.85,14738.61,18360.00
